Rajasthan,Kharif,13501,2079,6183,83,Non-Hybrid,311,5,General,85,29,68,184,20,27,264863,7867,10659,1038
Andhra Pradesh,Rabi,11000,1254,6511,89,Non-Hybrid,298,6,General,84,27,69,155,14,23,382442,10643,9807,1157
West Bengal,Rabi,15611,1957,6392,69,Non-Hybrid,236,6,General,108,26,70,172,16,26,344150,11963,9103,918
Tamil Nadu,Rabi,10351,2625,7315,89,Hybrid,290,7,General,174,29,74,188,13,25,314480,7446,8593,1170
Karnataka,Kharif,22524,2821,7463,61,Hybrid,234,7,Cold,133,29,62,146,18,29,332687,9826,12351,1012
Gujarat,Rabi,16585,2033,8205,88,Hybrid,259,4,Cold,168,30,64,198,14,24,353621,6627,12794,1169
Punjab,Kharif,15121,2245,6867,90,Non-Hybrid,251,5,General,147,29,65,190,12,20,323523,11002,12996,1115
Rajasthan,Rabi,24920,2940,6280,82,Non-Hybrid,212,4,General,133,26,53,172,12,25,310679,11464,8369,1021
Tamil Nadu,Rabi,18229,2012,7754,64,Non-Hybrid,288,7,Cold,95,26,64,183,19,23,322186,5311,9995,1160
Maharashtra,Kharif,18168,2186,6256,68,Hybrid,293,6,General,138,26,72,129,20,20,337551,6829,13394,922
Tamil Nadu,Rabi,23281,2538,7478,76,Non-Hybrid,235,6,General,178,30,58,132,14,28,338669,6394,8274,1084
Maharashtra,Kharif,10936,2298,7142,82,Hybrid,261,4,Cold,173,25,53,174,16,21,274327,6813,12179,1153
Madhya Pradesh,Kharif,20576,2691,6580,71,Hybrid,214,7,Cold,99,27,52,190,19,22,388118,6688,11264,911
Maharashtra,Rabi,21439,1981,7295,84,Hybrid,298,4,General,163,28,67,159,16,25,251990,10138,8442,1087
Rajasthan,Rabi,17497,1571,7507,94,Hybrid,281,5,General,114,26,58,147,19,28,324054,7873,10802,1074
Gujarat,Kharif,24615,2115,6938,67,Non-Hybrid,314,4,General,150,27,54,103,13,26,322242,5074,14094,1039
Madhya Pradesh,Rabi,20176,2176,7343,94,Hybrid,255,6,Cold,107,29,61,121,20,21,321392,6302,12564,905
Andhra Pradesh,Rabi,12049,1727,7658,92,Hybrid,308,5,Cold,151,30,53,144,19,27,290537,7029,13032,1146
Punjab,Rabi,18246,2706,7393,68,Hybrid,283,7,General,126,27,71,134,12,22,283508,8110,8575,925
Karnataka,Rabi,11849,1840,6781,94,Non-Hybrid,251,6,Cold,154,24,57,149,16,22,391156,9770,8691,937
Rajasthan,Rabi,21331,2992,6502,71,Hybrid,319,6,General,85,25,68,197,17,28,267076,6977,13953,1128
Gujarat,Rabi,20270,2236,6749,95,Non-Hybrid,224,6,General,165,26,70,139,14,27,349217,7146,8013,1048
Andhra Pradesh,Kharif,10701,1814,7893,91,Non-Hybrid,206,5,Cold,114,24,57,112,20,30,390602,10781,9102,1040
Madhya Pradesh,Kharif,14342,1201,7642,61,Hybrid,225,4,General,110,28,71,200,19,24,390929,8358,8793,1161
Karnataka,Kharif,16608,1211,8123,84,Hybrid,243,6,General,113,26,57,179,20,29,337682,5307,10623,1165
Karnataka,Rabi,13529,2919,7972,92,Hybrid,309,5,General,118,27,57,155,17,20,281426,8504,12163,947
Karnataka,Rabi,15233,2373,6741,82,Non-Hybrid,254,4,Cold,110,28,75,177,16,28,299246,10241,13136,1086
Tamil Nadu,Rabi,13668,2841,7520,81,Hybrid,281,6,General,93,25,71,133,16,23,301005,5233,10388,1168
Punjab,Kharif,18158,2110,7304,62,Hybrid,251,4,General,109,28,61,130,15,26,315167,9712,9489,1119
Maharashtra,Kharif,24117,2058,6054,93,Hybrid,236,4,Cold,156,27,73,132,16,28,352949,6306,13789,1031
Punjab,Kharif,10664,2420,8108,60,Hybrid,303,4,Cold,100,26,69,144,12,24,349473,10153,9607,1065
Tamil Nadu,Rabi,13260,1941,7557,74,Non-Hybrid,305,6,Cold,113,30,50,157,16,22,298340,8114,12247,992
Andhra Pradesh,Rabi,21983,2883,7781,76,Non-Hybrid,292,7,Cold,102,29,51,197,13,27,270443,7226,10188,1161
Madhya Pradesh,Kharif,24923,1363,6358,60,Hybrid,203,6,General,167,25,64,177,14,23,374897,8916,10013,902
Tamil Nadu,Rabi,15577,1831,6627,70,Hybrid,309,7,General,160,26,65,157,19,24,309992,9963,11074,1043
Maharashtra,Rabi,14615,2208,6905,95,Hybrid,317,5,General,168,30,70,143,12,22,275895,11847,9010,1100
Maharashtra,Rabi,11975,2096,7355,80,Hybrid,306,5,General,156,30,75,172,19,22,390320,10314,9101,1060
West Bengal,Kharif,11650,2597,8281,77,Non-Hybrid,241,7,General,146,25,67,152,15,30,313491,7733,14744,1131
Uttar Pradesh,Kharif,15909,2734,7890,64,Hybrid,203,5,Cold,151,25,53,105,18,28,379646,11517,10060,1123
Andhra Pradesh,Kharif,10482,1640,8315,62,Non-Hybrid,248,4,Cold,101,24,70,193,17,27,333337,7202,11807,924
Uttar Pradesh,Kharif,16312,1260,7043,85,Non-Hybrid,295,5,General,160,27,60,108,17,26,330238,5651,8991,923
Tamil Nadu,Rabi,16041,2549,7061,82,Non-Hybrid,256,4,General,146,25,67,101,13,30,324815,8779,12790,1078
West Bengal,Kharif,21574,1981,6600,75,Non-Hybrid,231,7,Cold,133,29,71,129,14,30,334783,10216,8439,1066
West Bengal,Rabi,23583,2726,6950,67,Non-Hybrid,255,7,Cold,87,30,73,129,16,22,339122,5294,12765,930
Andhra Pradesh,Rabi,22670,1579,7087,60,Non-Hybrid,285,4,Cold,80,24,52,183,14,25,283782,7026,9042,972
Uttar Pradesh,Kharif,18692,2415,8137,69,Non-Hybrid,282,6,Cold,169,28,55,160,17,30,292882,10888,8268,1013
Karnataka,Kharif,15003,1982,7451,74,Non-Hybrid,247,6,Cold,80,30,67,182,18,29,368942,5626,14762,1158
Gujarat,Rabi,22555,2016,7887,70,Non-Hybrid,280,5,Cold,155,30,71,172,20,29,303243,9756,14681,1108
Andhra Pradesh,Kharif,17948,1683,7857,87,Non-Hybrid,222,6,Cold,148,26,65,185,19,24,345936,5715,11827,988
West Bengal,Kharif,21979,2267,8036,85,Non-Hybrid,207,7,General,125,26,71,126,16,27,288491,7236,14241,1046
Punjab,Rabi,18481,2138,6621,93,Hybrid,208,7,General,144,25,52,122,18,30,311827,10113,13118,984
Madhya Pradesh,Kharif,17402,2593,6955,76,Non-Hybrid,320,6,General,155,27,60,114,16,26,263591,11891,11929,1193
Gujarat,Rabi,10706,1241,7502,66,Hybrid,293,6,Cold,176,28,63,103,18,20,335850,9215,12933,1155
Uttar Pradesh,Kharif,14406,2339,7088,62,Non-Hybrid,256,4,Cold,144,27,54,121,12,27,320676,7933,9655,1048
Maharashtra,Rabi,24359,1673,6554,75,Non-Hybrid,200,7,Cold,106,27,59,175,13,26,357230,8928,9324,948
Punjab,Rabi,20718,2895,7504,72,Non-Hybrid,284,6,General,115,29,62,126,13,23,356695,10000,9741,908
Andhra Pradesh,Rabi,18764,2378,7489,83,Hybrid,301,7,Cold,102,28,60,170,13,21,383027,5593,12911,963
Tamil Nadu,Kharif,17419,1647,6885,82,Hybrid,252,7,Cold,180,25,56,178,19,30,334216,7789,10557,948
Karnataka,Rabi,12819,2654,7276,81,Hybrid,248,5,General,170,26,66,145,19,28,320345,9450,9384,920
Andhra Pradesh,Rabi,22597,2896,7825,90,Hybrid,292,5,Cold,103,24,53,153,12,21,368598,7965,14232,1106
Gujarat,Rabi,13879,1813,6609,72,Non-Hybrid,272,4,General,101,25,72,113,12,30,311417,8777,9043,919
Karnataka,Rabi,23692,1679,7748,79,Non-Hybrid,270,7,Cold,119,27,62,170,13,27,306581,8645,12373,1001
Andhra Pradesh,Rabi,24100,1582,6234,73,Hybrid,237,5,Cold,139,26,58,155,17,20,271138,8759,10237,1037
Tamil Nadu,Kharif,12152,2805,6794,68,Hybrid,304,5,General,176,27,60,114,13,25,256193,8311,8678,1073
Madhya Pradesh,Rabi,23779,1873,6582,89,Non-Hybrid,251,5,General,129,29,61,124,17,23,384021,7026,9859,1198
Tamil Nadu,Kharif,10472,1785,8046,62,Non-Hybrid,249,5,Cold,97,28,73,149,19,28,328718,11769,9720,1185
Andhra Pradesh,Kharif,12916,2621,6415,79,Non-Hybrid,206,5,General,98,28,70,182,16,28,289619,5942,14109,1034
Punjab,Kharif,10983,2977,7305,74,Non-Hybrid,215,7,General,135,25,62,141,18,29,330824,8669,12032,994
West Bengal,Rabi,19908,2310,8117,67,Hybrid,208,7,General,175,28,54,122,20,23,289935,9769,8320,1124
Madhya Pradesh,Kharif,18583,2441,6076,68,Non-Hybrid,283,6,General,90,30,66,129,17,26,250635,6833,12558,1124
Punjab,Kharif,17377,2019,6218,93,Hybrid,217,7,General,133,28,61,161,20,26,295959,8524,12349,1047
Karnataka,Rabi,13522,1497,7809,70,Hybrid,202,7,Cold,110,26,53,191,13,30,346018,9397,13847,1141
Rajasthan,Rabi,14246,2706,6503,91,Non-Hybrid,253,6,Cold,128,26,61,128,20,29,268597,7290,12456,969
Madhya Pradesh,Kharif,13875,2164,6197,86,Non-Hybrid,252,5,Cold,117,27,56,123,18,24,289001,11246,12089,916
Gujarat,Kharif,11687,1928,6551,79,Hybrid,293,4,Cold,135,25,69,114,12,23,325923,9423,8171,1095
Punjab,Kharif,17268,1933,7467,64,Non-Hybrid,285,7,Cold,176,26,64,106,12,20,395799,10997,12834,943
West Bengal,Rabi,20759,2685,8221,68,Non-Hybrid,294,7,General,148,28,75,117,19,29,257928,7133,12820,1154
Tamil Nadu,Rabi,21296,2860,6608,83,Hybrid,223,5,General,160,27,52,112,16,26,384692,6811,11625,1138
Andhra Pradesh,Kharif,13653,2584,7105,82,Non-Hybrid,298,5,Cold,143,24,60,127,12,28,387722,10588,9394,1140
Andhra Pradesh,Rabi,10906,1463,6648,64,Non-Hybrid,285,6,General,144,29,65,149,20,25,365046,11307,14753,1180
Karnataka,Kharif,15873,2073,7264,86,Non-Hybrid,244,4,General,136,26,68,157,17,22,317351,11580,10174,1086
Madhya Pradesh,Rabi,12913,2221,7584,91,Non-Hybrid,208,6,Cold,170,24,63,127,14,26,345336,10387,8557,1168
Uttar Pradesh,Kharif,12478,2963,7613,80,Non-Hybrid,247,4,Cold,121,26,57,200,19,30,354350,9480,8542,1021
Rajasthan,Rabi,20268,1634,7383,71,Hybrid,268,6,General,127,25,74,150,15,29,322030,10232,11128,1199
Karnataka,Rabi,11242,2762,7151,64,Non-Hybrid,240,7,Cold,134,28,66,110,20,30,296831,11824,10727,1079
Punjab,Kharif,17072,2547,6814,93,Non-Hybrid,303,7,Cold,81,25,74,114,17,20,335876,11626,9330,1172
Andhra Pradesh,Kharif,19323,1855,7899,84,Hybrid,252,5,Cold,131,28,52,135,16,25,259953,10185,12619,999
Gujarat,Kharif,12088,2981,8308,82,Non-Hybrid,204,4,General,128,24,56,178,20,30,269406,5686,9184,1046
Maharashtra,Rabi,11631,1803,6676,85,Hybrid,253,7,General,141,29,57,171,19,28,328231,8456,13437,1090
Uttar Pradesh,Kharif,17461,1501,7276,74,Hybrid,285,5,General,112,24,54,191,12,29,302587,11488,8779,1054
Gujarat,Rabi,14282,2263,6152,67,Non-Hybrid,306,7,General,118,25,65,139,17,20,370372,8823,12944,1025
West Bengal,Rabi,19990,2653,7924,70,Non-Hybrid,276,4,General,98,29,70,187,15,28,363232,11633,12889,1090
Tamil Nadu,Kharif,24645,1361,7892,83,Hybrid,319,5,Cold,102,30,56,154,13,21,314228,7251,11213,1134
West Bengal,Kharif,15549,1959,7136,84,Hybrid,259,5,General,107,29,52,167,19,26,329212,7678,14430,1184
West Bengal,Rabi,20707,2585,7036,67,Hybrid,247,5,General,114,26,55,147,17,28,375846,5432,10016,941
Madhya Pradesh,Rabi,21918,2562,8052,74,Hybrid,305,5,Cold,92,24,64,159,17,23,261255,8364,11358,1027
Punjab,Kharif,15386,2068,7979,71,Non-Hybrid,263,4,General,120,25,59,144,16,28,281505,5442,9829,1153
Gujarat,Rabi,22860,1467,6813,94,Non-Hybrid,262,4,Cold,119,26,72,121,16,25,332227,10635,13001,1100
West Bengal,Kharif,23977,2622,7856,85,Non-Hybrid,302,4,General,105,29,56,107,13,27,378976,10705,8336,1183
Madhya Pradesh,Kharif,23841,2941,8270,69,Hybrid,308,7,General,141,27,73,198,18,30,361417,7470,8423,1074
Maharashtra,Rabi,18103,2978,6232,61,Non-Hybrid,272,4,Cold,161,24,52,145,17,28,368497,10206,9094,1178
Punjab,Kharif,20430,2303,7687,79,Hybrid,280,7,Cold,113,30,53,150,17,30,292164,6526,8644,959
Andhra Pradesh,Rabi,15715,2681,6143,84,Non-Hybrid,220,6,General,144,29,60,184,16,25,330813,6102,14120,902
Tamil Nadu,Rabi,12707,2695,6037,72,Non-Hybrid,318,7,Cold,171,29,60,103,12,26,379176,9113,9342,944
Uttar Pradesh,Rabi,17056,2230,6580,66,Non-Hybrid,265,4,General,178,30,59,142,18,22,389706,5521,14665,1078
Rajasthan,Rabi,21360,1605,6934,81,Hybrid,209,7,General,84,24,68,142,19,28,349731,11986,14831,1140
Karnataka,Rabi,20206,1874,6586,68,Non-Hybrid,284,6,Cold,178,25,57,174,14,26,277939,5729,9637,1134
Tamil Nadu,Kharif,19671,1953,6518,90,Hybrid,238,7,General,151,30,56,195,15,23,356223,8280,8683,1153
Rajasthan,Rabi,10866,1775,7455,78,Hybrid,214,5,Cold,112,29,59,189,17,23,331269,8421,8138,1096
Gujarat,Rabi,22512,2976,8138,95,Non-Hybrid,244,7,Cold,98,26,70,197,17,23,342429,9504,11437,1096
Punjab,Rabi,14934,1306,6272,85,Non-Hybrid,269,5,General,105,24,50,160,15,21,250666,10910,11727,976
Maharashtra,Kharif,10222,1287,6819,81,Non-Hybrid,207,6,General,108,29,52,138,17,24,255102,7015,11697,1120
Rajasthan,Kharif,12438,1397,6856,78,Hybrid,247,7,Cold,173,25,69,146,15,25,363283,6227,14729,1029
Madhya Pradesh,Kharif,23115,1494,6229,61,Hybrid,207,7,Cold,95,26,52,117,16,28,308528,10490,14918,1016
Gujarat,Kharif,18042,2254,7554,88,Hybrid,210,5,Cold,106,26,74,159,20,22,260823,11418,9731,1162
Gujarat,Rabi,16817,2316,8116,69,Hybrid,277,4,General,142,25,66,176,18,30,334696,7693,8874,1095
Punjab,Rabi,22212,2319,6096,84,Non-Hybrid,292,7,General,87,30,70,115,17,28,353415,6319,12526,969
Punjab,Rabi,12139,1826,8192,63,Hybrid,282,7,Cold,129,28,56,181,14,26,342915,7296,9402,1022
Rajasthan,Rabi,11603,1985,7017,79,Hybrid,223,5,Cold,85,26,68,103,20,21,312824,9686,10576,988
Maharashtra,Kharif,18990,2938,7379,88,Hybrid,284,4,Cold,160,30,55,133,13,28,255334,10555,13868,954
Tamil Nadu,Rabi,18648,2583,7141,83,Hybrid,241,5,General,179,27,52,147,16,22,322657,8543,10356,956
Rajasthan,Rabi,13075,2820,7335,66,Non-Hybrid,218,7,General,103,30,60,105,17,20,306659,6506,13044,1043
Karnataka,Kharif,16208,2023,7578,87,Hybrid,210,6,Cold,130,25,53,181,17,27,250108,11074,14102,911
Madhya Pradesh,Kharif,17205,1426,6328,77,Non-Hybrid,265,4,General,134,30,61,200,17,22,387570,5676,12495,957
Maharashtra,Rabi,11570,2507,7945,67,Hybrid,236,5,General,102,24,68,173,15,28,398869,8994,12881,1024
West Bengal,Rabi,11469,2949,7251,88,Non-Hybrid,234,6,General,82,28,52,184,19,22,345549,7547,12400,959
West Bengal,Rabi,12031,2292,7955,83,Hybrid,236,7,Cold,130,27,54,143,16,27,284501,9244,14570,981
Maharashtra,Rabi,15750,2281,7934,65,Non-Hybrid,310,7,Cold,170,29,63,128,20,23,372319,10779,9785,1090
Rajasthan,Kharif,19249,1676,6889,69,Non-Hybrid,250,7,Cold,108,28,73,175,18,30,396181,5640,14088,1102
Tamil Nadu,Rabi,20371,1463,6061,81,Hybrid,223,4,Cold,146,24,66,173,13,28,262958,7321,14209,1190
Punjab,Kharif,19831,2516,7072,87,Non-Hybrid,272,4,Cold,115,28,63,118,17,29,340844,10740,13968,1088
West Bengal,Rabi,15202,1998,6147,61,Non-Hybrid,222,5,Cold,130,27,66,179,12,20,308875,7152,10782,1019
West Bengal,Kharif,18320,1219,7889,74,Non-Hybrid,203,6,Cold,123,25,54,191,18,28,267957,5073,8395,1089
Punjab,Kharif,20614,2042,6755,63,Hybrid,245,4,Cold,161,29,61,140,16,26,341777,10392,9421,1073
Andhra Pradesh,Rabi,11088,2073,6180,83,Hybrid,244,7,Cold,120,28,72,174,20,23,264851,8944,10648,993
Gujarat,Kharif,22597,2613,7766,85,Non-Hybrid,206,7,Cold,84,30,72,193,19,21,380984,11342,9744,996
Maharashtra,Rabi,21383,2064,6925,74,Hybrid,249,5,General,137,28,65,179,15,23,256122,6072,8935,1098
Andhra Pradesh,Kharif,17705,2588,7432,64,Non-Hybrid,254,4,General,156,28,52,178,18,27,356454,7847,11884,1068
Karnataka,Rabi,19001,2534,6614,80,Hybrid,283,5,Cold,90,25,58,196,18,29,301004,11156,10322,1110
Maharashtra,Kharif,18917,2091,6442,67,Non-Hybrid,288,6,General,135,29,56,110,18,21,344379,11288,10361,1019
Rajasthan,Kharif,24823,2142,6416,73,Non-Hybrid,263,4,General,131,25,67,122,18,30,325337,5988,9311,1139
Rajasthan,Rabi,23890,2719,7846,64,Non-Hybrid,218,5,General,122,29,59,157,19,21,318385,6641,9003,1136
Uttar Pradesh,Rabi,22344,1480,6580,91,Non-Hybrid,261,4,Cold,89,24,65,200,14,24,304222,10968,12152,994
Maharashtra,Kharif,10891,1320,6322,94,Hybrid,225,6,General,141,28,58,174,15,26,291708,9314,10263,1013
Punjab,Kharif,24538,2692,6756,91,Non-Hybrid,243,6,Cold,164,26,61,126,15,21,256614,8773,10482,1063
Karnataka,Rabi,14866,2684,7362,69,Non-Hybrid,288,6,Cold,159,28,72,192,12,21,334864,8887,14032,938
Madhya Pradesh,Kharif,12603,1540,8123,67,Hybrid,215,7,Cold,134,26,67,106,15,28,389472,10513,13251,1185
Karnataka,Rabi,18424,2667,6517,79,Non-Hybrid,247,4,Cold,145,29,64,187,20,29,394165,10777,13573,1062
Madhya Pradesh,Rabi,22250,2993,6260,73,Hybrid,291,6,Cold,152,26,70,127,12,24,296353,6573,10277,1129
Gujarat,Rabi,20822,2173,6477,86,Non-Hybrid,303,4,General,149,29,57,176,16,22,310460,11307,12488,910
Gujarat,Kharif,19312,1457,7786,71,Hybrid,256,5,Cold,80,26,63,157,18,23,396553,7610,11364,940
Rajasthan,Kharif,24298,2655,6760,70,Hybrid,221,5,General,108,25,52,196,19,25,368281,10237,11166,912
Madhya Pradesh,Rabi,19149,2420,8012,75,Hybrid,296,6,General,115,28,58,197,20,23,394884,6314,11726,1131
Rajasthan,Rabi,20861,2936,7431,72,Non-Hybrid,270,4,General,130,24,58,142,20,24,268582,8337,13465,1075
Tamil Nadu,Kharif,18969,1459,7314,92,Hybrid,281,7,Cold,153,24,58,163,20,24,269319,11835,13305,1043
Andhra Pradesh,Kharif,10074,1754,7445,78,Hybrid,225,7,Cold,136,24,69,115,17,27,315867,8159,14864,932
Madhya Pradesh,Kharif,12263,2520,7833,62,Hybrid,232,4,General,129,25,62,130,12,26,319854,6280,9476,926
Rajasthan,Kharif,11906,1561,6109,92,Non-Hybrid,278,7,General,151,28,53,136,13,30,255456,8523,11788,907
Karnataka,Rabi,19209,2340,6244,79,Non-Hybrid,270,6,Cold,111,28,71,110,19,30,306076,5578,10282,1170
Rajasthan,Rabi,24292,2450,6885,75,Non-Hybrid,224,7,General,129,24,50,150,12,25,318828,9435,14713,1166
Madhya Pradesh,Rabi,13102,2148,6935,65,Non-Hybrid,311,5,Cold,119,24,67,124,16,24,283959,6144,10445,1032
Maharashtra,Kharif,20590,1968,8017,73,Non-Hybrid,205,6,General,162,30,53,192,14,29,284895,10935,12601,1048
Tamil Nadu,Rabi,10509,2690,6990,90,Non-Hybrid,285,5,Cold,107,30,73,156,14,26,274672,8190,9425,1180
Karnataka,Rabi,12608,2212,6730,61,Hybrid,228,5,Cold,108,24,73,105,19,29,358069,9441,13995,1049
Tamil Nadu,Rabi,13297,2645,7067,88,Non-Hybrid,216,7,Cold,100,30,59,101,20,29,292533,11619,11431,1166
Punjab,Kharif,11905,2025,7167,78,Hybrid,314,6,Cold,167,26,75,167,17,30,269678,6111,12667,989
West Bengal,Rabi,19621,1802,7282,81,Non-Hybrid,238,4,Cold,168,27,72,113,16,21,355547,7312,14393,1128
Maharashtra,Kharif,22653,2359,7523,77,Non-Hybrid,229,7,General,82,29,71,155,14,22,332843,9514,13778,1011
Gujarat,Rabi,12805,1827,7936,71,Hybrid,269,6,Cold,110,27,63,123,18,25,287223,9072,11286,964
West Bengal,Kharif,19852,1335,7470,78,Non-Hybrid,233,5,Cold,164,24,50,167,14,21,311355,7756,14801,1160
Gujarat,Kharif,18188,1998,7345,91,Hybrid,254,5,General,107,24,55,147,12,29,396602,11141,12226,946
Punjab,Rabi,14472,1280,6436,95,Non-Hybrid,242,4,Cold,118,30,52,118,13,24,331729,10107,8267,1110
Punjab,Kharif,17682,1878,8330,63,Non-Hybrid,279,7,General,103,28,55,143,12,29,341759,6584,13218,965
Punjab,Rabi,16854,1465,6854,62,Hybrid,320,6,General,98,30,59,179,15,25,273093,8304,11941,1109
Madhya Pradesh,Rabi,14497,1627,8077,71,Hybrid,286,4,Cold,112,24,75,111,16,24,347168,11125,12581,1086
Gujarat,Kharif,23832,1338,7999,85,Non-Hybrid,310,7,General,142,28,62,132,13,27,392689,5147,8052,1168
West Bengal,Kharif,15860,1681,7797,87,Non-Hybrid,306,6,Cold,167,25,72,146,17,25,253827,9420,13885,918
Rajasthan,Rabi,11377,1442,6208,64,Hybrid,264,4,General,86,29,71,176,18,25,328691,9435,12863,1094
Karnataka,Rabi,14975,2504,7314,66,Non-Hybrid,213,4,Cold,144,24,65,160,15,23,376036,6767,13545,960
Uttar Pradesh,Rabi,21536,2132,7417,72,Non-Hybrid,317,5,General,175,28,57,168,12,20,264331,6187,11676,1132
Rajasthan,Rabi,20023,2058,8173,75,Non-Hybrid,206,5,Cold,143,28,51,182,15,24,280017,6383,9452,1157
Punjab,Rabi,21543,1407,7097,78,Hybrid,290,4,General,118,29,67,172,17,30,335062,7970,9103,1105
West Bengal,Rabi,10752,2713,6404,79,Non-Hybrid,276,4,General,146,30,67,138,16,25,301136,5472,12564,1045
