Punjab,Kharif,12662,2521,8195,77,Non-Hybrid,267,4,Cold,137,30,70,108,19,20,303868,10820,14266,1094
Maharashtra,Rabi,15492,2934,7348,72,Non-Hybrid,268,4,General,102,25,68,189,17,28,377048,7686,11498,1001
Rajasthan,Rabi,15502,1972,6204,88,Non-Hybrid,315,4,Cold,102,29,74,200,19,22,297666,6960,8431,1165
Karnataka,Kharif,11780,1905,7471,95,Non-Hybrid,262,7,Cold,151,24,54,122,17,21,314771,9604,9715,997
Andhra Pradesh,Kharif,15518,2076,7360,78,Hybrid,212,6,General,97,25,64,169,15,26,284234,11465,11016,1052
Punjab,Rabi,16896,2740,8078,61,Hybrid,202,5,General,90,27,53,163,16,21,299653,11240,10482,1141
Andhra Pradesh,Kharif,22629,2244,7229,69,Hybrid,290,6,General,122,28,57,108,15,25,257326,10212,11882,915
Punjab,Kharif,14183,1602,6328,74,Hybrid,204,5,Cold,165,27,50,124,16,24,278260,5431,11814,996
Uttar Pradesh,Kharif,13026,2135,7622,76,Hybrid,276,4,General,152,26,71,198,16,20,336721,7974,8745,1068
Maharashtra,Kharif,13212,1216,8199,66,Hybrid,251,7,Cold,129,30,68,161,19,28,258366,9298,13082,1002
Tamil Nadu,Kharif,12861,2563,8208,63,Non-Hybrid,259,5,Cold,172,30,67,112,19,25,322856,9209,9340,1001
Karnataka,Rabi,12295,1391,6151,80,Non-Hybrid,232,7,General,139,25,60,123,12,25,369551,11308,12777,1160
Karnataka,Kharif,15277,2129,7440,84,Non-Hybrid,307,6,Cold,171,25,63,176,19,29,277126,11010,9595,1004
Tamil Nadu,Rabi,13902,1906,7083,80,Non-Hybrid,258,6,Cold,156,28,58,171,14,25,367778,11967,13102,1138
Maharashtra,Kharif,10819,2742,6364,89,Hybrid,297,4,Cold,130,26,62,137,15,29,297799,7645,10792,1106
Rajasthan,Rabi,15365,2463,7105,68,Non-Hybrid,252,5,General,153,28,62,179,19,23,391307,7211,14452,1002
West Bengal,Rabi,24305,2547,7935,73,Hybrid,273,6,General,171,24,73,120,13,26,351969,10440,12379,936
West Bengal,Kharif,20025,2354,6998,83,Hybrid,303,6,Cold,115,28,70,187,13,26,398489,7285,9212,926
Tamil Nadu,Rabi,17194,2101,7607,68,Hybrid,255,6,General,144,30,66,172,12,21,342877,11190,12690,930
Maharashtra,Rabi,12749,1853,7463,86,Hybrid,293,6,General,144,24,55,153,18,29,365897,7093,14078,1181
Rajasthan,Rabi,13768,1783,6427,82,Hybrid,269,4,General,89,25,64,144,17,25,343643,8213,9452,966
Maharashtra,Kharif,24558,1253,7222,79,Hybrid,245,6,General,146,24,65,135,19,29,292881,7705,13458,1109
Karnataka,Kharif,12044,1208,8174,73,Non-Hybrid,294,7,Cold,122,25,62,129,16,27,351239,5720,8195,905
Rajasthan,Rabi,24640,1394,7438,66,Hybrid,309,5,Cold,123,24,61,200,15,22,370321,8843,11802,1061
Madhya Pradesh,Rabi,19875,2586,7064,75,Hybrid,288,7,Cold,134,25,74,117,16,28,338812,9510,9875,924
Andhra Pradesh,Rabi,15856,2533,8024,75,Non-Hybrid,234,5,General,146,28,73,118,15,25,372628,9171,14764,1066
Andhra Pradesh,Rabi,13821,2018,8182,89,Hybrid,200,4,Cold,157,30,58,150,13,29,396888,9391,10954,1002
Tamil Nadu,Rabi,15030,2873,6826,76,Non-Hybrid,318,5,General,155,30,53,123,14,24,347666,6821,8973,1120
Maharashtra,Kharif,23416,1808,7727,68,Hybrid,288,7,Cold,94,28,61,157,18,29,333388,8778,12733,995
Tamil Nadu,Kharif,23216,1902,7824,84,Non-Hybrid,207,7,Cold,142,30,64,159,13,29,325674,11627,12969,1062
Punjab,Kharif,13128,2824,6507,93,Non-Hybrid,239,6,Cold,94,29,72,177,12,24,383636,8596,9438,1040
Rajasthan,Rabi,24971,2364,7932,85,Hybrid,287,7,Cold,150,27,58,184,12,22,263004,5243,11262,948
Madhya Pradesh,Kharif,14484,2146,6709,84,Hybrid,218,7,General,110,24,51,178,20,27,286992,5243,14376,1113
Madhya Pradesh,Kharif,15119,1741,8041,75,Non-Hybrid,258,4,Cold,161,30,66,190,20,26,268443,10766,13639,1179
Rajasthan,Kharif,11679,2565,8164,82,Hybrid,282,4,General,98,29,64,109,14,28,261420,5935,8694,1116
Punjab,Rabi,10255,2829,6668,88,Hybrid,274,6,General,166,26,59,107,12,28,379918,5464,14558,1197
Tamil Nadu,Kharif,14510,2123,7367,92,Non-Hybrid,268,7,Cold,136,25,61,113,18,25,337298,6850,8392,1112
Punjab,Rabi,24435,2384,7427,94,Non-Hybrid,261,6,General,162,27,64,120,20,27,257128,10694,8892,960
Rajasthan,Kharif,24269,2401,6169,79,Non-Hybrid,205,4,General,176,25,61,166,17,21,354729,11149,9803,972
West Bengal,Kharif,19774,2342,6663,60,Non-Hybrid,266,7,Cold,159,24,59,151,18,29,360637,8229,11368,986
Karnataka,Rabi,22287,2681,7491,75,Hybrid,306,5,General,94,27,65,192,19,24,276797,9172,13992,1019
Karnataka,Kharif,22914,2170,8192,92,Non-Hybrid,214,6,Cold,129,27,56,189,19,20,372426,10847,12381,938
Tamil Nadu,Kharif,15848,2405,8163,78,Non-Hybrid,237,4,Cold,114,27,63,153,17,27,258409,8571,12715,1078
Gujarat,Kharif,24454,1968,8029,63,Hybrid,241,6,General,167,30,55,134,20,21,284183,11730,8684,1054
Rajasthan,Rabi,13720,1370,7868,93,Hybrid,252,4,General,173,25,52,102,12,23,271166,7059,9726,1014
Maharashtra,Kharif,17524,1877,6625,80,Hybrid,273,5,Cold,82,30,59,126,13,20,356445,9983,11334,907
West Bengal,Rabi,11215,1856,6367,92,Hybrid,264,7,General,166,30,73,119,17,20,296646,10580,12332,1103
Maharashtra,Kharif,20207,2495,7598,65,Hybrid,244,4,General,141,28,67,176,16,27,382285,5332,8523,1085
Maharashtra,Kharif,10681,1670,6250,95,Hybrid,222,6,Cold,134,30,56,187,13,24,292893,11879,12345,1112
Maharashtra,Kharif,18306,1667,6994,81,Non-Hybrid,242,5,Cold,137,30,57,195,18,29,315269,10831,12603,999
Gujarat,Rabi,15114,2726,8110,76,Non-Hybrid,240,4,General,134,30,66,150,12,22,369760,6015,10312,1184
