Region,Season,Production Volume (Tonnes),Cultivated Area (Hectares),Yield (kg/ha),Irrigation Coverage (%),Seed Type,Fertilizer Usage (kg/ha),Pesticide Usage (L/ha),Storage Availability,Rainfall (mm),Temperature (°C),Humidity (%),Labor Availability,Wholesale Price (₹/kg),Retail Price (₹/kg),Domestic Consumption (Tonnes),Export Volume (Tonnes),Processing Demand (Tonnes),Transportation Cost (₹/tonne)
Uttar Pradesh,Kharif,20583,1253,6912,70,Hybrid,275,5,Cold,89,24,60,195,16,30,372621,7768,11714,1182
Rajasthan,Kharif,18779,2536,8166,73,Hybrid,288,4,General,131,28,63,138,13,23,313047,5956,9480,1027
Karnataka,Rabi,14592,2804,6716,88,Hybrid,226,7,General,94,24,65,109,15,28,316896,5803,13277,1081
Karnataka,Rabi,20615,2188,8158,62,Non-Hybrid,207,6,Cold,103,25,59,101,17,30,317846,11441,14228,1049
Rajasthan,Kharif,24836,1532,6891,67,Non-Hybrid,283,4,General,147,29,51,127,18,25,269943,6260,8576,986
Rajasthan,Rabi,12704,1717,7090,77,Hybrid,252,6,Cold,96,25,71,140,13,21,307530,11295,13462,966
Tamil Nadu,Rabi,14247,1324,7806,86,Non-Hybrid,258,4,General,173,25,51,120,16,20,291843,8101,13206,929
Rajasthan,Rabi,19152,1433,6599,86,Non-Hybrid,279,6,Cold,169,29,56,133,17,23,358422,8414,9336,1111
Maharashtra,Rabi,16942,1774,7517,62,Hybrid,314,5,General,87,25,57,136,14,23,284394,8950,8243,1003
Tamil Nadu,Rabi,18326,2325,7908,62,Hybrid,267,4,Cold,154,28,66,132,13,30,310228,5064,8388,1119
Maharashtra,Kharif,21516,1567,6257,73,Non-Hybrid,270,5,General,164,29,65,162,13,26,292911,10110,8297,1137
Punjab,Rabi,20350,2763,7878,94,Hybrid,231,7,General,88,26,65,145,16,29,377465,7349,10514,1173
West Bengal,Kharif,11171,1518,7469,80,Hybrid,215,7,General,161,24,74,194,14,28,254970,7299,11146,1097
Punjab,Kharif,24202,2473,6606,69,Non-Hybrid,312,5,Cold,151,25,67,190,19,29,366368,6732,11386,927
Maharashtra,Kharif,15849,1824,6938,95,Hybrid,228,5,Cold,128,28,55,182,20,25,276757,9702,9075,1064
Maharashtra,Rabi,24079,1996,7196,77,Non-Hybrid,246,7,Cold,148,25,65,152,20,20,293618,10924,8407,1072
Maharashtra,Kharif,14224,2560,7975,78,Hybrid,277,5,General,119,24,63,162,14,28,372517,5141,11436,1157
Punjab,Kharif,22105,1738,7107,75,Non-Hybrid,252,4,General,131,30,58,149,18,30,310399,5201,9539,1000
Uttar Pradesh,Kharif,18766,2565,6842,84,Hybrid,227,7,Cold,86,26,71,180,16,23,265636,9911,11275,962
Uttar Pradesh,Rabi,14690,2468,7666,84,Non-Hybrid,300,7,Cold,148,29,54,141,14,22,340535,8385,9579,942
Maharashtra,Rabi,20821,1320,6628,64,Hybrid,200,5,Cold,83,26,75,121,14,27,323612,10933,14103,1121
Madhya Pradesh,Rabi,16557,1925,6852,67,Hybrid,235,4,Cold,94,29,64,198,19,28,381790,8935,12332,979
Rajasthan,Rabi,15021,2806,6643,65,Non-Hybrid,216,4,General,169,29,58,152,19,30,341918,7664,10303,1118
Madhya Pradesh,Kharif,22670,2778,6426,69,Hybrid,308,7,General,152,28,72,190,14,27,332721,8137,10062,1194
Andhra Pradesh,Kharif,22591,1721,6875,61,Non-Hybrid,200,6,General,84,27,66,111,14,30,395578,6552,8895,904
Tamil Nadu,Rabi,11417,1503,7601,92,Non-Hybrid,292,5,General,96,24,73,194,15,27,371794,11226,14300,1060
Punjab,Rabi,20901,2610,7089,94,Non-Hybrid,294,6,Cold,156,29,51,149,14,20,337652,10691,11162,1072
Karnataka,Kharif,20569,1542,6342,78,Non-Hybrid,226,4,Cold,92,27,68,152,19,28,397111,7602,10290,1088
Tamil Nadu,Kharif,11513,1788,7360,70,Hybrid,239,4,General,109,26,54,130,20,20,357577,8212,12344,952
Karnataka,Kharif,24179,2208,8329,81,Hybrid,210,6,Cold,94,30,58,145,13,26,397592,5895,13779,1020
Uttar Pradesh,Kharif,16379,2225,7360,65,Hybrid,304,6,General,125,24,59,172,12,24,276304,11516,11901,993
Punjab,Rabi,19426,2417,6755,62,Hybrid,297,4,General,123,24,65,113,19,29,323097,7465,14176,1187
Tamil Nadu,Rabi,13604,2239,6901,85,Hybrid,297,7,General,171,29,65,151,16,24,325951,7127,14027,1012
Tamil Nadu,Kharif,15908,2812,7715,75,Hybrid,280,6,General,119,24,53,110,18,22,336611,10437,12578,948
Madhya Pradesh,Rabi,19895,1815,7981,68,Non-Hybrid,270,5,Cold,156,25,75,118,20,21,282956,5242,14239,1010
Punjab,Rabi,10912,2506,7587,74,Hybrid,248,5,Cold,105,27,58,128,15,24,270919,5045,9247,1040
Karnataka,Rabi,20128,1634,7086,68,Hybrid,219,4,Cold,137,29,61,181,15,24,344085,10666,12242,914
Karnataka,Kharif,21373,2559,6415,75,Non-Hybrid,251,7,General,167,26,71,162,16,24,323577,10561,9675,1199
Uttar Pradesh,Rabi,24065,2130,6104,61,Non-Hybrid,272,6,Cold,171,28,50,106,14,22,254753,10898,14390,934
Andhra Pradesh,Kharif,12862,2033,6298,64,Non-Hybrid,223,7,Cold,152,27,66,163,15,30,384949,7792,8280,1038
West Bengal,Rabi,13837,1640,7731,82,Non-Hybrid,213,4,General,171,27,62,134,17,21,387295,7849,9835,1011
Maharashtra,Rabi,20908,2413,7420,72,Non-Hybrid,247,5,Cold,118,24,53,157,12,27,381325,9817,14282,1009
Tamil Nadu,Rabi,21674,1305,7354,92,Non-Hybrid,300,6,Cold,102,30,55,153,13,28,290713,6745,11399,1116
Madhya Pradesh,Kharif,11133,2206,8303,76,Non-Hybrid,217,4,General,129,28,71,134,14,20,305571,9241,14548,1136
Tamil Nadu,Rabi,13918,2765,7040,92,Hybrid,292,7,Cold,118,24,73,139,13,29,298453,8857,14684,901
Madhya Pradesh,Rabi,20679,2444,6338,67,Non-Hybrid,203,7,Cold,152,28,73,100,16,25,385931,11065,10728,901
Punjab,Rabi,22138,2207,8187,79,Non-Hybrid,286,6,General,175,29,54,183,13,23,349891,10757,14791,1100
Uttar Pradesh,Rabi,19776,1458,6921,80,Non-Hybrid,308,7,Cold,97,27,62,153,17,29,359973,6235,13438,1166
Gujarat,Kharif,21058,2189,6879,79,Non-Hybrid,223,5,General,180,29,73,186,20,27,291232,10274,11656,1045
Gujarat,Kharif,11621,1201,6606,91,Non-Hybrid,296,5,General,154,29,73,113,16,20,273005,6257,11937,1105
Karnataka,Kharif,18577,2487,7941,75,Hybrid,242,5,Cold,88,27,53,175,15,25,280425,9043,10869,991
Punjab,Kharif,20153,2687,6323,92,Hybrid,238,4,Cold,133,24,52,174,16,25,357116,7983,12802,1102
Gujarat,Kharif,13436,2089,7088,66,Hybrid,203,5,Cold,128,29,52,195,15,24,368637,6202,14989,951
West Bengal,Rabi,20322,2310,6153,62,Non-Hybrid,300,5,General,110,27,58,125,20,27,349070,11278,13968,1145
Punjab,Rabi,17373,2934,7883,95,Hybrid,226,7,General,84,27,74,177,20,26,384222,9324,13191,1127
Maharashtra,Kharif,11064,1224,6206,84,Non-Hybrid,268,5,General,127,27,73,107,16,25,327031,11179,14410,1072
Punjab,Kharif,24279,1635,8021,64,Non-Hybrid,256,5,General,159,25,61,140,12,28,337171,6264,8096,1041
Madhya Pradesh,Rabi,23386,2235,7821,89,Hybrid,260,5,General,87,30,58,146,20,20,342735,9583,9664,907
Punjab,Rabi,13076,2883,7351,62,Hybrid,291,5,General,178,30,75,179,15,20,269777,7498,9720,1101
West Bengal,Kharif,12264,2180,7150,73,Hybrid,273,5,Cold,140,26,70,113,15,28,338779,6420,11835,1075
Maharashtra,Rabi,18328,2629,7751,78,Hybrid,214,7,General,139,26,64,107,12,30,377325,7744,8841,1137
Madhya Pradesh,Rabi,11918,1233,7150,67,Non-Hybrid,249,5,General,82,24,59,146,18,30,378078,11981,11304,948
Tamil Nadu,Rabi,11319,1855,7126,85,Hybrid,225,6,Cold,119,26,56,111,19,23,386791,11857,13908,922
Uttar Pradesh,Rabi,23084,2935,6372,74,Non-Hybrid,207,7,General,85,25,54,162,16,22,271665,6097,9706,999
West Bengal,Rabi,18605,2978,6222,85,Non-Hybrid,222,4,General,142,25,53,120,12,29,290288,9959,11290,973
Punjab,Rabi,12002,2856,6064,73,Hybrid,313,7,General,82,27,54,152,20,21,275684,10019,8299,1076
Punjab,Rabi,21415,2454,6611,88,Hybrid,224,6,General,106,25,62,164,19,26,378611,7969,14787,968
Rajasthan,Kharif,14462,1808,6111,81,Non-Hybrid,219,6,Cold,151,25,65,136,18,22,367573,5320,10451,1011
Gujarat,Rabi,18952,1755,7567,62,Hybrid,228,7,Cold,107,29,52,131,18,28,281305,7296,9657,1111
Karnataka,Rabi,14228,2067,6220,74,Hybrid,231,7,General,144,30,66,118,18,20,325559,6194,13921,1047
Gujarat,Kharif,22427,1420,6063,82,Non-Hybrid,305,4,Cold,81,25,64,146,15,20,345258,11397,8308,961
Madhya Pradesh,Kharif,21354,1327,7377,94,Hybrid,305,7,General,121,25,59,139,17,29,394525,6677,11267,922
Uttar Pradesh,Kharif,24452,1654,6200,71,Non-Hybrid,209,7,General,105,26,67,188,18,20,352622,7717,12036,1067
Tamil Nadu,Kharif,16944,2271,6857,92,Hybrid,317,6,General,140,24,59,178,14,28,340152,11012,8048,944
Karnataka,Rabi,11069,2919,6443,94,Hybrid,302,4,General,157,28,71,146,19,20,387950,5632,13594,999
Karnataka,Rabi,24896,1846,8023,90,Non-Hybrid,287,6,General,100,25,72,161,13,27,319105,10489,14518,1161
